item_ref,object_name,categories,constraints,type,max_field_size,field_name,description,foreign_key,expected_data,returns,cms,cms_field,cms_table,required_enabled,unique_enabled,primary_key,join_type,guidance
PERS011A,ssd_person,identity, ,nchar,1,pers_is_mother,Mother, ,"[""Y""]",SSDA903|RIIA,liquid_logic|azeus,liquid_logic : pers_is_mother|mosaic : pers_is_mother,liquid_logic : ssd_person|mosaic : ssd_person, , , , ,"Calculated within the SSD extract based on if a parent-child relationship exists for persons with a sex code other than Male (i.e. Female or Unknown). A child will be classified as a mother even if they do not care for the child themselves (for example, if consent was given for the child to be adopted).
Code set
N - Child is not a mother
Y - Child is a mother "
PERS012A,ssd_person,identity, ,nvarchar,48,pers_nationality,Country of Origin (UASC), , ,ADCS_SP|RIIA,liquid_logic|mosaic,liquid_logic : pers_nationality|mosaic : pers_nationality,liquid_logic : ssd_person|mosaic : ssd_person, , , , ,"Required for UASC, reported in the ADCS Safeguarding Pressures research."
FAMI003A,ssd_family,identity|family, ,nvarchar,48,fami_table_id,Family table row id, , ,Local, , , , , , , ,Row identifier for the ssd_family table
FAMI001A,ssd_family,identity|family, ,nvarchar,48,fami_family_id,Family identifier, , ,ASGLB|AnnexA,liquid_logic|mosaic,liquid_logic : fami_family_id|mosaic : fami_family_id,liquid_logic : ssd_family|mosaic : ssd_family,Yes,Yes,Yes, ,For linking to adoptive family or Family-level interventions e.g. Early Help
FAMI002A,ssd_family,identity|family, ,nvarchar,48,fami_person_id,Person Unique ID,ssd_person.pers_person_id, ,Local,liquid_logic|mosaic,liquid_logic : fami_person_id|mosaic : fami_person_id,liquid_logic : ssd_family|mosaic : ssd_family,Yes, , ,LEFT,Person's ID generated in CMS Database
ADDR007A,ssd_address,identity|address, ,nvarchar,48,addr_table_id,Address table row ID, , ,Local,liquid_logic|mosaic,liquid_logic : addr_table_id|mosaic : addr_table_id,liquid_logic : ssd_address|mosaic : ssd_address,Yes,Yes,Yes, ,Row identifier for the ssd_address table
ADDR001A,ssd_address,identity|address, ,nvarchar,1000,addr_address_json,Address, , ,Local,liquid_logic|mosaic|eclipse|caredirector|azeus,liquid_logic : addr_address_json|mosaic : addr_address_json,liquid_logic : ssd_address|mosaic : ssd_address,Yes,Yes, , ,"Address (combined dictionary/json type containing: room, floor, flat, building, house num, street, locality, town, county, uprn, easting, northing)"
ADDR002A,ssd_address,identity|address, ,nvarchar,48,addr_person_id,Person Unique ID,ssd_person.pers_person_id, ,Local,liquid_logic|mosaic|eclipse|caredirector|azeus,liquid_logic : addr_person_id|mosaic : addr_person_id,liquid_logic : ssd_address|mosaic : ssd_address, , , ,INNER,Person's ID generated in CMS Database
ADDR003A,ssd_address,identity|address, ,nvarchar,48,addr_address_type,Address Type, , ,Local,liquid_logic|mosaic,liquid_logic : addr_address_type|mosaic : addr_address_type,liquid_logic : ssd_address|mosaic : ssd_address, , , , ,"Type of Address, e.g. Home/ Placement/ Primary etc."
ADDR004A,ssd_address,identity|address, ,datetime,NULL,addr_address_start_date,Address Start Date/ From, , ,Local,liquid_logic|mosaic,liquid_logic : addr_address_start_date|mosaic : addr_address_start_date,liquid_logic : ssd_address|mosaic : ssd_address, , , , ,Date person started living at the address
ADDR005A,ssd_address,identity|address, ,datetime,NULL,addr_address_end_date,Address End Date/ To, , ,Local,liquid_logic|mosaic,liquid_logic : address_end|mosaic : address_end,liquid_logic : ssd_address|mosaic : ssd_address, , , , ,Date person left the address 
ADDR006A,ssd_address,identity|address, ,nvarchar,15,addr_address_postcode,Address Postcode, , ,SSDA903|AnnexA|SEN2,liquid_logic|mosaic|eclipse|caredirector|azeus,liquid_logic : addr_address_postcode|mosaic : addr_address_postcode,liquid_logic : ssd_address|mosaic : ssd_address, , , , ,"Address Postcode, auto-formatted to remove spaces for consistency"
DISA001A,ssd_disability,identity|disability, ,nvarchar,48,disa_person_id,Person Unique ID,ssd_person.pers_person_id, ,Local,liquid_logic|mosaic|eclipse|caredirector|azeus,liquid_logic : disa_person_id|mosaic : disa_person_id,liquid_logic : ssd_disability|mosaic : ssd_disability,Yes,Yes, , ,Person's ID generated in CMS Database
DISA003A,ssd_disability,identity|disability, ,nvarchar,48,disa_table_id,Disability table row ID, , ,Local,liquid_logic|mosaic,liquid_logic : disa_table_id|mosaic : disa_table_id,liquid_logic : ssd_disability|mosaic : ssd_disability, , ,Yes, ,Row identifier for the ssd_disability table
DISA002A,ssd_disability,identity|disability, ,nvarchar,48,disa_disability_code,Disability Code, , ,CIN|AnnexA,liquid_logic|mosaic,liquid_logic : disa_disability_code|mosaic : disa_disability_code,liquid_logic : ssd_disability|mosaic : ssd_disability,Yes,Yes, , ,"The Disability Discrimination Act 2005 (DDA) defines a disabled person as a person with a physical or mental impairment which has a substantial and long-term adverse effect on his/her ability to carry out normal day-to-day activities. The condition must have lasted, or be likely to last at least 12 months in order to be counted as a disability.
Code set
NONE - ‘NO DISABILITY’
MOB - ‘MOBILITY’ – getting about the house and beyond
HAND - ‘HAND FUNCTION’ – holding and touching
PC - ‘PERSONAL CARE’ – For example, eating, washing, going to the toilet dressing
INC - ‘INCONTINENCE’ – controlling the passage of urine or faeces
COMM - ‘COMMUNICATION’ – speaking and/or understanding others
LD - ‘LEARNING’ – For example, having special educational needs
HEAR - ‘HEARING’
VIS - ‘VISION’
BEH - ‘BEHAVIOUR’ – a condition entailing behavioural difficulties, includes attention deficit hyperactivity disorder (ADHD)
CON - ‘CONCIOUSNESS’ – seizures
AUT - ‘DIAGNOSED WITH AUTISM OR ASPERGER SYNDROME’ – diagnosed by a qualified medical practitioner as having classical autism or Asperger syndrome. Do not include children who have merely been identified as having an autistic spectrum disorder (ASD), for example by their school. This can be associated with the behaviour and learning categories above.
DDA - ‘OTHER DDA’ – one or more of the child’s disabilities under the Disability Discrimination Act 2005 (DDA) does not fall into any of the above categories.

Certain conditions are not regarded as impairments for the purposes of the act:
• addiction to, or dependency on, alcohol, nicotine, or any other substance (other than as a result of the substance being medically prescribed);
• the condition known as seasonal allergic rhinitis (hay fever), except where it aggravates the effect of another condition;
• tendency to start fires;
• tendency to steal;
• tendency to physically or sexually abuse other persons;
• exhibitionism;
• voyeurism
In addition, disfigurements such as tattoos, non-medical body piercing, or something attached through such piercing, are not regarded as having a substantial adverse effect on the person’s ability to carry out normal day-to-day activities.
If a child is disabled or becomes disabled at any time during the collection year, record all the relevant disabilities that have affected the child. For example, children may have multiple disabilities in which case more than one category from the below list can be selected. ‘Other DDA’ can also be used in conjunction with any of the other categories.
If your MIS does not allow for the identification of individual disabilities, then the code ‘Other DDA’ may be used for all children with a disability.
If a child has no disability, do not leave this item blank; use the code ‘NONE’. However, if a child is unborn then the disability item should be left blank."
IMMI001A,ssd_immigration_status,identity|immigration|uasc, ,nvarchar,48,immi_person_id,Person Unique ID,ssd_person.pers_person_id, ,Local,liquid_logic|mosaic|eclipse|caredirector|azeus,liquid_logic : immi_person_id|mosaic : immi_person_id,liquid_logic : ssd_immigration_status|mosaic : ssd_immigration_status, ,Yes, , ,Person's ID generated in CMS Database
IMMI005A,ssd_immigration_status,identity|immigration|uasc, ,nvarchar,48,immi_immigration_status_id,Immigration Status ID, , ,Local,liquid_logic|mosaic,liquid_logic : immi_immigration_status_id|mosaic : immi_immigration_status_id,liquid_logic : ssd_immigration_status|mosaic : ssd_immigration_status, , ,Yes, ,Row identifier for the ssd_immigration_status table
IMMI002A,ssd_immigration_status,identity|immigration|uasc, ,nvarchar,48,immi_immigration_status,Immigration Status, , ,SSDA903|RIIA|AnnexA,liquid_logic|mosaic,liquid_logic : immi_immigration_status|mosaic : immi_immigration_status,liquid_logic : ssd_immigration_status|mosaic : ssd_immigration_status, , , , ,Immigration Status e.g. Unaccompanied Asylum Seeking Child
IMMI003A,ssd_immigration_status,identity|immigration|uasc, ,datetime,NULL,immi_immigration_status_start_date,Immigration Status Start, , ,RIIA,liquid_logic|mosaic,liquid_logic : immi_immigration_status_start_date|mosaic : immi_immigration_status_start_date,liquid_logic : ssd_immigration_status|mosaic : ssd_immigration_status, , , , ,Start Date of Immigration Status
IMMI004A,ssd_immigration_status,identity|immigration|uasc, ,datetime,NULL,immi_immigration_status_end_date,Immigration Status End, , ,SSDA903|RIIA,liquid_logic|mosaic,liquid_logic : immi_immigration_status_end_date|mosaic : immi_immigration_status_end_date,liquid_logic : ssd_immigration_status|mosaic : ssd_immigration_status, , , , ,End Date of Immigration Status
MOTH004A,ssd_mother,identity|looked_after|mother, ,nvarchar,48,moth_table_id,Mother Table ID, , ,Local, ,liquid_logic : moth_table_id|mosaic : moth_table_id, ,Yes,Yes,Yes, , 
MOTH002A,ssd_mother,identity|looked_after|mother, ,nvarchar,48,moth_person_id,Person Unique ID (Mother),ssd_person.pers_person_id (field is both PK/FK), ,Local,liquid_logic|mosaic|eclipse|caredirector|azeus,liquid_logic : moth_person_id|mosaic : moth_person_id,liquid_logic : ssd_mother|mosaic : ssd_mother,Yes, , , ,Person's ID generated in CMS Database
MOTH001A,ssd_mother,identity|looked_after|mother, ,nvarchar,48,moth_childs_person_id,Mother's Child's Unique ID,ssd_person.pers_person_id, ,Local,liquid_logic|mosaic,liquid_logic : moth_childs_person_id|mosaic : moth_childs_person_id,liquid_logic : ssd_mother|mosaic : ssd_mother,Yes,Yes,Yes, ,The unique identifier of the mother's child.
MOTH003A,ssd_mother,identity|looked_after|mother, ,datetime,NULL,moth_childs_dob,Date of birth of mother's child, , ,SSDA903|AnnexA,liquid_logic|mosaic,liquid_logic : moth_childs_dob|mosaic : moth_childs_dob,liquid_logic : ssd_mother|mosaic : ssd_mother, , , , ,The SSD will include all children for each mother. This information is only currently collected in the SSDA903 (CLA) return where the DOB of the mother's first child is required.
LEGA001A,ssd_legal_status,identity|looked_after, ,nvarchar,48,lega_legal_status_id,Legal Status ID, , ,Local,liquid_logic|mosaic,liquid_logic : lega_legal_status_id|mosaic : lega_legal_status_id,liquid_logic : ssd_legal_status|mosaic : ssd_legal_status,Yes,Yes,Yes, ,Row identifier for the ssd_legal_status table
LEGA002A,ssd_legal_status,identity|looked_after, ,nvarchar,48,lega_person_id,Person Unique ID,ssd_person.pers_person_id, ,Local,liquid_logic|mosaic|eclipse|caredirector|azeus,liquid_logic : lega_person_id|mosaic : lega_person_id,liquid_logic : ssd_legal_status|mosaic : ssd_legal_status,Yes, , , ,Person's ID generated in CMS Database
LEGA003A,ssd_legal_status,identity|looked_after, ,nvarchar,100,lega_legal_status,Legal Status, , ,SSDA903|AnnexA|RIIA,liquid_logic|mosaic,liquid_logic : lega_legal_status|mosaic : lega_legal_status,liquid_logic : ssd_legal_status|mosaic : ssd_legal_status, , , , ,"Legal Status type. If a child is looked-after because it is accommodated, the legal status goes some way to describe (in legal terms at least) why the child is being looked after.
There are many legal statuses arising from the Children Act, or the Youth Justice System, to which a child can be subject, but which have no bearing on whether a child is ‘looked-after’ or not. These are included in the SSD extract despite not being rerutned in the SSDA903.
These incude statuses for permanence orders, e.g. Special Guardianship and Child Arrangement Orders, as well as Private Fostering and Care Leaver legal stauses, among others."
LEGA004A,ssd_legal_status,identity|looked_after, ,datetime,NULL,lega_legal_status_start_date,Legal Status Start Date, , ,RIIA,liquid_logic|mosaic,liquid_logic : lega_legal_status_start_date|mosaic : lega_legal_status_start_date,liquid_logic : ssd_legal_status|mosaic : ssd_legal_status, , , , ,Start Date of Legal Status
LEGA005A,ssd_legal_status,identity|looked_after, ,datetime,NULL,lega_legal_status_end_date,Legal Status End Date, , ,RIIA,liquid_logic|mosaic,liquid_logic : lega_legal_status_end_date|mosaic : lega_legal_status_end_date,liquid_logic : ssd_legal_status|mosaic : ssd_legal_status, , , , ,End Date of Legal Status
CONT001A,ssd_contacts,contact, ,nvarchar,48,cont_contact_id,Contact ID, , ,Local,liquid_logic|mosaic,liquid_logic : cont_contact_id|mosaic : cont_contact_id,liquid_logic : ssd_contacts|mosaic : ssd_contacts,Yes,Yes,Yes, ,Row identifier for the ssd_contacts table
CONT002A,ssd_contacts,contact, ,nvarchar,48,cont_person_id,Person Unique ID,ssd_person.pers_person_id, ,Local,liquid_logic|mosaic|eclipse|caredirector|azeus,liquid_logic : cont_person_id|mosaic : cont_person_id,liquid_logic : ssd_contacts|mosaic : ssd_contacts,Yes, , , ,Person's ID generated in CMS Database
CONT003A,ssd_contacts,contact, ,datetime,NULL,cont_contact_date,Date of Contact, , ,AnnexA|RIIA,liquid_logic|mosaic|azeus,liquid_logic : cont_contact_date|mosaic : cont_contact_date,liquid_logic : ssd_contacts|mosaic : ssd_contacts, , , , ,Date Contact received into LA
CONT004A,ssd_contacts,contact, ,nvarchar,48,cont_contact_source_code,Contact Source Code, , ,AnnexA|RIIA,liquid_logic|mosaic|azeus,liquid_logic : cont_contact_source_code|mosaic : cont_contact_source_code,liquid_logic : ssd_contacts|mosaic : ssd_contacts, , , , ,Contact Source Code
CONT006A,ssd_contacts,contact, ,nvarchar,255,cont_contact_source_desc,Contact Source Description, , ,Local, , , , , , , ,Contact Source Description
CONT005A,ssd_contacts,contact, ,nvarchar,500,cont_contact_outcome_json,Contact Outcome , , ,ADCS_SP|RIIA,liquid_logic|mosaic,liquid_logic : cont_contact_outcome_json|mosaic : cont_contact_outcome_json,liquid_logic : ssd_contacts|mosaic : ssd_contacts, , , , ,"Outcome of the Contact. Combined dictionary/ json type containing the following, where there is a value recorded:
- NEW_REFERRAL_FLAG
- EXISTING_REFERRAL_FLAG
- CP_ENQUIRY_FLAG
- NFA_FLAG
- NON_AGENCY_ADOPTION_FLAG
- PRIVATE_FOSTERING_FLAG
- FAADVICE_FLAG
- MISSING_FLAG
- OLA_CP_FLAG
- OTHER_OUTCOMES_EXIST_FLAG
- NUMBER_OF_OUTCOMES
- COMMENTS"
EARL001A,ssd_early_help_episodes,early_help, ,nvarchar,48,earl_episode_id,EH Episode ID, , ,Local,liquid_logic|mosaic,liquid_logic : earl_episode_id|mosaic : earl_episode_id,liquid_logic : ssd_early_help_episodes|mosaic : ssd_early_help_episodes,Yes,Yes,Yes, ,Row identifier for the ssd_early_help_episodes table
EARL002A,ssd_early_help_episodes,early_help, ,nvarchar,48,earl_person_id,Person Unique ID,ssd_person.pers_person_id, ,Local,liquid_logic|mosaic|eclipse|caredirector|azeus,liquid_logic : earl_person_id|mosaic : earl_person_id,liquid_logic : ssd_early_help_episodes|mosaic : ssd_early_help_episodes,Yes, , , ,Person's ID generated in CMS Database
EARL003A,ssd_early_help_episodes,early_help, ,datetime,NULL,earl_episode_start_date,EH Episode Start Date, , ,AnnexA|RIIA,liquid_logic|mosaic,liquid_logic : earl_episode_start_date|mosaic : earl_episode_start_date,liquid_logic : ssd_early_help_episodes|mosaic : ssd_early_help_episodes, , , , ,Date Episode Started
EARL004A,ssd_early_help_episodes,early_help, ,datetime,NULL,earl_episode_end_date,EH Episode End Date, , ,AnnexA|RIIA,liquid_logic|mosaic,liquid_logic : earl_episode_end_date|mosaic : earl_episode_end_date,liquid_logic : ssd_early_help_episodes|mosaic : ssd_early_help_episodes, , , , ,Date Episode Ended
EARL005A,ssd_early_help_episodes,early_help, ,nvarchar,100,earl_episode_reason,EH Episode Reason for Involvement, , ,ADCS_SP|RIIA,liquid_logic|mosaic,liquid_logic : earl_episode_reason|mosaic : earl_episode_reason,liquid_logic : ssd_early_help_episodes|mosaic : ssd_early_help_episodes, , , , ,Broad categorisation of Reason for Early Help Involvement. 
EARL006A,ssd_early_help_episodes,early_help, ,nvarchar,100,earl_episode_end_reason,EH Episode End Reason, , ,ADCS_SP|RIIA,liquid_logic|mosaic,liquid_logic : earl_episode_end_reason|mosaic : earl_episode_end_reason,liquid_logic : ssd_early_help_episodes|mosaic : ssd_early_help_episodes, , , , ,Reason Episode endeed e.g. Outcomes met/ Step-up/ NFA
EARL007A,ssd_early_help_episodes,early_help, ,nvarchar,100,earl_episode_organisation,EH Episode Allocated Organisation, , ,AnnexA|RIIA,liquid_logic|mosaic,liquid_logic : earl_episode_organisation|mosaic : earl_episode_organisation,liquid_logic : ssd_early_help_episodes|mosaic : ssd_early_help_episodes, , , , ,Organisation responsible for Early Help provision
EARL008A,ssd_early_help_episodes,early_help, ,nvarchar,100,earl_episode_worker_id,EH Episode Allocated Worker,ssd_professionals.prof_professional_id, ,RIIA,liquid_logic|mosaic,liquid_logic : earl_episode_worker_name|mosaic : earl_episode_worker_name,liquid_logic : ssd_early_help_episodes|mosaic : ssd_early_help_episodes, , , , ,Allocated worker responsible for Early Help provision
CINE001A,ssd_cin_episodes,child_in_need|referral, ,nvarchar,48,cine_referral_id,CIN Referral ID, , ,Loca;,liquid_logic|mosaic,liquid_logic : cine_referral_id|mosaic : cine_referral_id,liquid_logic : ssd_cin_episodes|mosaic : ssd_cin_episodes,Yes,Yes,Yes, ,Row identifier for the ssd_cin_episodes table
CINE002A,ssd_cin_episodes,child_in_need, ,nvarchar,48,cine_person_id,Person Unique ID,ssd_person.pers_person_id, ,Local,liquid_logic|mosaic|eclipse|caredirector|azeus,liquid_logic : cine_person_id|mosaic : cine_person_id,liquid_logic : ssd_cin_episodes|mosaic : ssd_cin_episodes,Yes, , , ,Person's ID generated in CMS Database
CINE003A,ssd_cin_episodes,child_in_need|referral, ,datetime,NULL,cine_referral_date,CIN Referral Date, , ,CIN|AnnexA|RIIA,liquid_logic|mosaic,liquid_logic : cine_referral_date|mosaic : cine_referral_date,liquid_logic : ssd_cin_episodes|mosaic : ssd_cin_episodes, , , , ,Date the Referral is effective from
CINE010A,ssd_cin_episodes,child_in_need|referral, ,nvarchar,3,cine_cin_primary_need_code,CIN Primary Need Code, , ,CIN|AnnexA|RIIA,liquid_logic|mosaic,liquid_logic : cine_cin_primary_need|mosaic : cine_cin_primary_need,liquid_logic : ssd_cin_episodes|mosaic : ssd_cin_episodes, , , , ,"CIN Primary Need Code. This code indicates the main reason why a child started to receive services.
The categories are designed only to identify what kind of pressures are placed on social services. They have no diagnostic value with regard to the children themselves and must not be used to determine what type of service the child should receive.
If there is difficulty choosing between two or more categories of need, choose the category that comes highest up in the table, for example, if trying to decide between family in acute stress and family dysfunction, choose family in acute stress.
The order of the categories relates to the specificity of the description and not necessarily importance. However, the order is fixed so that there is consistency.
The children in need census for 2005 and earlier tried to account for all money spent in a census week. To allow for this, ‘N9’ was created, but as this census is specifically child based, the definition of ‘N9’ from 2005 is not applicable. As in previous years, ‘N9’ can be used if a child is no longer in need and the only service they are receiving is adoption support (on an open case) immediately after they have been in need.
Code Set
N1 - Abuse or neglect
Children in need as a result of, or at risk of, abuse or neglect; also includes children at risk because of domestic violence.
N2 - Child’s disability
Children and families whose main need for services arises because of their child’s disability, illness or intrinsic condition.
N3 - Parental disability or illness
Children whose main need for services arises because the capacity of their parent(s) (or carer(s)) to care for them is impaired by the parent(s) (or carer(s)) disability, physical or mental illness, or addictions.
N4 - Family in acute stress
Children whose needs arise from living in a family that is going through a temporary crisis that diminishes the parental capacity to adequately meet some of the children’s needs.
N5 - Family dysfunction
Children whose needs primarily arise from living in a family where the parenting capacity is chronically inadequate.
N6 - Socially unacceptable behaviour
Children and families whose need for services primarily arise out of the child’s behaviour impacting detrimentally on the community.
N7 - Low income
Children, living in families or independently, whose needs primarily arise from being dependent on an income below the standard state entitlements.
N8 - Absent parenting
Children whose needs for services arise mainly from having no parents available to provide for them.
N9 - Cases other than children in need
Children who have been adopted and, although they are no longer a child in need, receive adoption support from children’s social services immediately after adoption. This should not be used where a child receives an adoption payment only.
N0 - Not stated
Children whose reference data is not completely entered on the system and whose need code is yet to be determined, or the case is a referral that has been closed following assessment."
CINE004A,ssd_cin_episodes,child_in_need|referral, ,nvarchar,48,cine_referral_source_code,CIN Referral Source code, , ,CIN|AnnexA|RIIA,liquid_logic|mosaic,liquid_logic : cine_referral_source_code|mosaic : cine_referral_source_code,liquid_logic : ssd_cin_episodes|mosaic : ssd_cin_episodes, , , , ,Contact Source Code
CINE012A,ssd_cin_episodes,child_in_need|referral, ,nvarchar,255,cine_referral_source_desc,CIN Referral Source description, , ,Local, , , , , , , ,Contact Source Name
CINE005A,ssd_cin_episodes,child_in_need|referral, ,nvarchar,500,cine_referral_outcome_json,CIN Referral Outcome, , ,AnnexA|RIIA,liquid_logic|mosaic,liquid_logic : cine_referral_outcome_json|mosaic : cine_referral_outcome_json,liquid_logic : ssd_cin_episodes|mosaic : ssd_cin_episodes, , , , ,"Outcome of the Referral. This indicates the outcome of the initial Referral, not the CIN Episode.
Combined dictionary/ json type containing the following, where there is a value recorded:
- SINGLE_ASSESSMENT_FLAG
- NFA_FLAG
- STRATEGY_DISCUSSION_FLAG
- CLA_REQUEST_FLAG
- NON_AGENCY_ADOPTION_FLAG
- PRIVATE_FOSTERING_FLAG
- CP_TRANSFER_IN_FLAG
- CP_CONFERENCE_FLAG
- CARE_LEAVER_FLAG
- OTHER_OUTCOMES_EXIST_FLAG
- NUMBER_OF_OUTCOMES
- COMMENTS"
